field_code,time,lai_mean,lai_std,lai_10pc,lai_90pc
1029ZIN,2021-08-02,0.06820997481440623,0.029075231823623617,0.03507345916796094,0.10753871221223615
1029ZIN,2021-08-03,0.07230243792783068,0.030053542590912342,0.03693444801834908,0.11237755318771246
1029ZIN,2021-08-03,0.07230243792783068,0.030053542590912342,0.03693444801834908,0.11237755318771246
1029ZIN,2021-08-14,0.1286618894694105,0.04906190114341062,0.07077621532703715,0.1946006047471826
1029ZIN,2021-08-20,0.2027251314168402,0.06958582022344695,0.1208967742368529,0.308696897030537
1029ZIN,2021-08-24,0.295890036742757,0.09329845450675232,0.183237749144335,0.44013591739046387
1029ZIN,2021-09-06,1.0097682800251468,0.2687896788744915,0.6935422893001988,1.3712865478542786
1029ZIN,2021-09-06,1.0097682800251468,0.2687896788744915,0.6935422893001988,1.3712865478542786
1029ZIN,2021-09-07,1.0715988991746428,0.2873374747073424,0.7432082778279109,1.468143749307902
1029ZIN,2021-09-07,1.0715988991746428,0.2873374747073424,0.7432082778279109,1.468143749307902
1029ZIN,2021-09-08,1.131361156442539,0.29812826461621933,0.7915026155244386,1.5337707927309727
1029ZIN,2021-09-09,1.1889998944930498,0.3137922721607997,0.8384016754594086,1.6106144353953216
1029ZIN,2021-09-12,1.3307999401779909,0.33672291787138253,0.958558988016748,1.780916384978396
1029ZIN,2021-09-12,1.3307999401779909,0.33672291787138253,0.958558988016748,1.780916384978396
1029ZIN,2021-09-13,1.3724546233306862,0.3384424849419775,0.9944931421641374,1.823068805848731
1029ZIN,2021-09-15,1.4379235107835322,0.3437901566324866,1.0568025754742236,1.9022504047138087
1029ZIN,2021-09-15,1.4379235107835322,0.3437901566324866,1.0568025754742236,1.9022504047138087
1029ZIN,2021-09-18,1.499568894502791,0.3420862288379755,1.1234512258982046,1.9804492517255174
1029ZIN,2021-09-19,1.5141975275155704,0.3410202841750623,1.1402879423733283,1.9942648278902548
1029ZIN,2021-09-20,1.5231089170912944,0.3387574699438145,1.1521859231456304,2.010437327213102
1029ZIN,2021-09-20,1.5231089170912944,0.3387574699438145,1.1521859231456304,2.010437327213102
1029ZIN,2021-09-22,1.5377961950512615,0.33199811709696336,1.1774352164499808,2.036849298384626
