Country     = 'somewhere'
Station     = 'anything'
Description = 'Reanalysis data'
Source      = 'ERA5'
Contact     = 'J Gomez-Dans'
Longitude = -0.5; Latitude = 9.3; Elevation = 145.82828282828282; AngstromA = -0.18; AngstromB = -0.55; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
2020-01-01,21597.676,20.566812133789085,33.41219482421877,0.6220942907320087,3.652824385467804,0.0021457671550706436,nan
2020-01-02,21618.192000000003,20.314797973632835,31.770715332031273,0.5709739849964528,4.022266244693518,0.0008761881531427207,nan
2020-01-03,21614.112,18.14960632324221,30.272927856445335,0.5178783524346424,3.842799779725316,0.0017046927496267017,nan
2020-01-04,21712.120000000003,17.597955322265648,30.947503662109398,0.5906335496995904,3.104481025436266,0.0025784656827454455,nan
2020-01-05,21410.688000000002,18.263528442382835,32.7026306152344,0.8030065832278265,2.2908304625270843,0.001721938531318301,nan
2020-01-06,21216.984,19.927896118164085,33.755288696289085,0.9648550273617508,2.2081055659917617,0.000852346317969932,nan
2020-01-07,21209.016000000003,21.675439453125023,35.16835937500002,1.0594227612328149,2.049745632217697,0.0,nan
2020-01-08,20995.415999999997,23.65986022949221,36.35256347656252,1.1977776493087209,2.3468432402077117,0.0,nan
2020-01-09,20178.716,24.56665954589846,36.79194030761721,1.1209538720708547,3.0217598907256,0.00044107436991680515,nan
2020-01-10,18513.316,23.78968200683596,35.73627624511721,1.18079163079168,2.1522879894293485,0.0,nan
2020-01-11,18434.452,24.081582641601585,34.70333251953127,1.8913035967556295,1.6928429407012124,0.0013709068298339844,nan
2020-01-12,19018.768000000004,24.636590576171898,36.159341430664085,2.156582035516982,1.6536640313850839,0.0,nan
2020-01-13,21377.604,26.209954833984398,37.147927856445335,1.2295969948192265,2.8792364437590208,0.000870227722771233,nan
2020-01-14,21808.28,23.164605712890648,35.421975708007835,0.7692374154731136,3.191195123863634,0.0,nan
2020-01-15,21867.72,22.432351684570335,36.24141845703127,0.7718712179483469,3.0422031159829714,0.000852346317969932,nan
2020-01-16,21998.592,22.58069763183596,36.8497253417969,0.9017549358526346,2.9582143004534807,0.0017143987065537658,nan
2020-01-17,22045.716,22.995050048828148,36.37301025390627,0.8936507746813896,3.141223651587753,0.0008405303901781735,nan
2020-01-18,22196.148,22.70166931152346,35.18816528320315,0.7612982826534896,3.2047354453465595,0.002153175387320516,nan
2020-01-19,22075.404,22.347756958007835,35.14385375976565,0.8536919452212736,2.8178352955553945,0.000852346317969932,nan
2020-01-20,21880.303999999996,22.764215087890648,36.05123291015627,0.996817029445709,2.2633612835441532,0.0004261732051702438,nan
2020-01-21,21603.788,22.181314086914085,37.37087402343752,1.2806236277601541,1.9484078025753915,0.000852346317969932,nan
2020-01-22,21594.636,24.975152587890648,37.78962097167971,1.126600264351884,2.861842144013431,0.0021281070985423867,nan
2020-01-23,22296.023999999998,24.393472290039085,37.271279907226585,0.8999145200675924,3.1918719855237665,0.0017225740975845838,nan
2020-01-24,22707.42,23.422036743164085,37.011209106445335,0.5970436388572593,3.4974039787007793,0.0,nan
2020-01-25,23299.116,22.405633544921898,36.057901000976585,0.4627096859150486,3.7031919407409126,0.0,nan
2020-01-26,23165.095999999998,21.238183593750023,35.335488891601585,0.5200659100566444,2.5712575929125228,0.0034348916528870177,nan
2020-01-27,23296.8,20.89161071777346,36.04705200195315,0.5995815443533777,2.5886681307283275,0.000852346317969932,nan
2020-01-28,22699.428,21.826013183593773,35.96248779296877,0.6255091826600144,2.413880926266312,0.0017166138377433526,nan
2020-01-29,23017.108,22.492364501953148,37.2960144042969,0.6084034867683459,3.0362798285609984,0.002568094714661129,nan
2020-01-30,23612.696000000004,20.952554321289085,36.754861450195335,0.4324692332743955,2.976893205768724,0.0008553258226129401,nan
2020-01-31,23376.059999999998,20.805352783203148,36.680520629882835,0.5170935828011438,3.0854821364736673,0.0004351138045421976,nan
2020-02-01,23251.372000000003,22.583551025390648,36.64321289062502,0.5870166915940717,3.3328889363675214,0.0025678159545350354,nan
2020-02-02,23669.216,21.718377685546898,35.795205688476585,0.4722711405062931,3.3516950772736878,0.00045031464424027945,nan
2020-02-03,23860.735999999997,20.62726745605471,35.18374023437502,0.4432062728892477,3.129891896301403,0.0034302472613489954,nan
2020-02-04,23941.104,20.162271118164085,35.59938964843752,0.4589799231550984,2.9487605626503828,2.9802436074533034e-06,nan
2020-02-05,23735.788,21.233560180664085,35.85158691406252,0.5337302469638514,3.090045589690174,0.000852346317969932,nan
2020-02-06,23586.884,22.082940673828148,36.040261840820335,0.5648128222332743,3.2605565664040363,0.0013033928780714632,nan
2020-02-07,23519.02,22.779275512695335,36.56646118164065,0.563856595954543,3.5166062010762302,0.0,nan
2020-02-08,23445.076,22.480813598632835,37.01973876953127,0.5719593400108127,3.1679374658631922,0.000852346317969932,nan
2020-02-09,23154.728,24.406350708007835,37.64821777343752,0.7097644645527125,2.834345094193138,0.0,nan
2020-02-10,22340.484,22.795281982421898,37.6544128417969,0.9970192387053332,2.3407130804631984,0.0,nan
2020-02-11,23343.192,25.32721862792971,37.42147216796877,0.7042123449610541,3.430311912959665,0.000852346317969932,nan
2020-02-12,22462.152000000002,24.239343261718773,36.38286743164065,0.4550865621673737,3.3813045996125837,0.001269376809887035,nan
2020-02-13,24230.072,22.611138916015648,36.71572265625002,0.4688894357281823,3.0866619089946923,0.0,nan
2020-02-14,22630.772,21.639611816406273,36.767190551757835,0.4910423582830428,3.079596544311052,0.0025749205860847724,nan
