REGION,DISTRICT,YEAR,CROP,AREA (Ha),YIELD (Mt/Ha),PRODUCTION (Mt),,
WESTERN,Aowin -Suaman,2013,Cassava,11280,10.12,114153.6,,
WESTERN,Bibiani-Anhwiaso-Bekwai,2013,Cassava,7502,12.65,94900.3,,
WESTERN,Sefwi-Wiawso,2013,Cassava,5743,13.28,76267.04,,
WESTERN,Akontombra,2013,Cassava,4220,9.42,39752.4,,
WESTERN,Bia,2013,Cassava,2640,9.14,24129.6,,
WESTERN,Juabeso,2013,Cassava,5847,13.54,79168.38,,
WESTERN,Sekondi-Takoradi Municipal (STMA),2013,Yam,32,4.78,152.96,,
WESTERN,Shama,2013,Yam,45,3.8,171,,
WESTERN,Ahanta West,2013,Yam,30,4.65,139.5,,
WESTERN,Mporhor Wassa East,2013,Yam,207,4.85,1003.95,,
WESTERN,Tarkwa Nsuaem,2013,Yam,188,5.85,1099.8,,
WESTERN,Prestea / Huni Valley,2013,Yam,103,5.85,602.55,,
WESTERN, Nzema East,2013,Yam,37,4.7,173.9,,
WESTERN,Ellembele,2013,Yam,29,3.85,111.65,,
WESTERN,Jomoro,2013,Yam,23,4.79,110.17,,
WESTERN, Amenfi East,2013,Yam,538,7.39,3975.82,,
WESTERN,Amenfi  West (Wassa Amenfi),2013,Yam,601,6.95,4176.95,,
WESTERN,Aowin -Suaman,2013,Yam,848,7,5936,,
WESTERN,Bibiani-Anhwiaso-Bekwai,2013,Yam,2608,7.84,20446.72,,
WESTERN,Sefwi-Wiawso,2013,Yam,1739,8.92,15511.88,,
WESTERN,Akontombra,2013,Yam,1320,7.49,9886.8,,
WESTERN,Bia,2013,Yam,1547,7.45,11525.15,,
WESTERN,Juabeso,2013,Yam,1770,10.15,17965.5,,
ASHANTI,Bekwai municipal (Amansie East),2014,Maize,3432,2.5,8580,,
ASHANTI,Bosome Freho,2014,Maize,2312,1.2,2774.4,,
ASHANTI,Amansie Central,2014,Maize,4845,1.3,6298.5,,
ASHANTI,Amansie West,2014,Maize,3199,2.4,7677.6,,
ASHANTI,Ejura Sekyedumase,2014,Maize,21228,1.4,29719.2,,
ASHANTI,Mampong Municipal (Sekyere West) ,2014,Maize,11554,1.3,15020.2,,
ASHANTI,Sekyere Central,2014,Maize,7202,1.4,10082.8,,
ASHANTI,Sekyere East,2014,Maize,5712,1.9,10852.8,,
ASHANTI,Sekyere Afram Plains,2014,Maize,2512,1.4,3516.8,,
ASHANTI,Sekyere South,2014,Maize,5502,1.3,7152.6,,
ASHANTI,Afigya Kwabre,2014,Maize,3210,1.4,4494,,
ASHANTI,Ahafo Ano North,2014,Maize,10372,1.2,12446.4,,
ASHANTI,Ahafo Ano South,2014,Maize,10051,1.2,12061.2,,
ASHANTI,Atwima Mponua,2014,Maize,3681,1.5,5521.5,,
ASHANTI,Atwima Nwabiagya,2014,Maize,5702,1.5,8553,,
ASHANTI,Ejusu Juaben,2014,Maize,3509,1.2,4210.8,,
ASHANTI,Bosumtwe,2014,Maize,1653,1.3,2148.9,,
ASHANTI,Atwima Kwanwoma,2014,Maize,2164,1.2,2596.8,,
ASHANTI,Kwabre East,2014,Maize,836,1.2,1003.2,,
ASHANTI,Offinso,2014,Maize,9047,1.4,12665.8,,
ASHANTI,Offinso North,2014,Maize,13356,1.3,17362.8,,
ASHANTI,Adansi North,2014,Maize,3810,1.2,4572,,
ASHANTI,Obuasi Municipal (Adansi West),2014,Maize,962,1.2,1154.4,,
ASHANTI,Adansi  South (East),2014,Maize,3548,1.2,4257.6,,
ASHANTI,Asante Akim North,2014,Maize,12373,1.4,17322.2,,
ASHANTI,Asante Akim South,2014,Maize,5619,1.2,6742.8,,
ASHANTI,K. M. A.,2014,Maize,336,1.3,436.8,,
ASHANTI,Bekwai municipal (Amansie East),2014,Rice,83.04,2.88,239.16,,
ASHANTI,Bosome Freho,2014,Rice,336.38,2.88,968.74,,
ASHANTI,Amansie Central,2014,Rice,31.54,2.67,84.33,,
ASHANTI,Amansie West,2014,Rice,48.36,2.26,109.42,,
