REGION,DISTRICT,YEAR,CROP,YIELD,SAVANNAH
NORTHERN ,East Gonja,2006,  COWPEA,2.3,
NORTHERN ,Tamale Metro,2006,  COWPEA,0.96,
NORTHERN ,Sawla/Tuna/Kalba,2006,  COWPEA,0.49,
NORTHERN ,Bole,2006,  COWPEA,0.51,
NORTHERN ,Saboba,2006,  COWPEA,1.2,
NORTHERN ,Tolon,2006,  COWPEA,1.17,
NORTHERN ,Kumbungu,2006,  COWPEA,1.17,
NORTHERN ,West Mamprusi,2006,  COWPEA,1.28,
NORTHERN ,Zabzugu,2006,  COWPEA,0.65,
NORTHERN ,Tatale,2006,  COWPEA,0.65,
NORTHERN ,Bole,2007,MAIZE,1.17,
NORTHERN ,Bunkpurugu Yonyo,2007,MAIZE,1.08,
NORTHERN ,Central Gonja,2007,MAIZE,1.08,
NORTHERN ,East Gonja,2007,MAIZE,1.35,
NORTHERN ,East Mamprusi,2007,MAIZE,1.08,
NORTHERN ,Gushiegu,2007,MAIZE,1.17,
NORTHERN ,Karaga,2007,MAIZE,1.26,
NORTHERN ,Nanumba North,2007,MAIZE,1.44,
NORTHERN ,Nanumba South,2007,MAIZE,1.53,
NORTHERN ,Saboba,2007,MAIZE,0.81,
NORTHERN ,Savelugu Nanton,2007,MAIZE,1.17,
NORTHERN ,Sawla/Tuna/Kalba,2007,MAIZE,1.08,
NORTHERN ,Tamale Metro,2007,MAIZE,1.08,
NORTHERN ,Tolon,2007,MAIZE,1.26,
NORTHERN ,Kumbungu,2007,MAIZE,1.26,
NORTHERN ,West Gonja,2007,MAIZE,1.26,
NORTHERN ,West Mamprusi,2007,MAIZE,1.35,
NORTHERN ,Yendi,2007,MAIZE,1.35,
NORTHERN ,Zabzugu,2007,MAIZE,0.99,
NORTHERN ,Tatale,2007,MAIZE,0.99,
NORTHERN ,Bole,2007,GROUNDNUT,0.63,
NORTHERN ,Bunkpurugu Yonyo,2007,GROUNDNUT,0.72,
NORTHERN ,Central Gonja,2007,GROUNDNUT,0.63,
NORTHERN ,East Gonja,2007,GROUNDNUT,0.36,
NORTHERN ,East Mamprusi,2007,GROUNDNUT,0.9,
NORTHERN ,Gushiegu,2007,GROUNDNUT,0.72,
NORTHERN ,Karaga,2007,GROUNDNUT,0.9,
NORTHERN ,Nanumba North,2007,GROUNDNUT,0.63,
NORTHERN ,Nanumba South,2007,GROUNDNUT,0.63,
NORTHERN ,Saboba,2007,GROUNDNUT,0.72,
NORTHERN ,Savelugu Nanton,2007,GROUNDNUT,1.25,
NORTHERN ,Sawla/Tuna/Kalba,2007,GROUNDNUT,0.54,
NORTHERN ,Tamale Metro,2007,GROUNDNUT,0.62,
NORTHERN ,Tolon,2007,GROUNDNUT,0.75,
NORTHERN ,Kumbungu,2007,GROUNDNUT,0.75,
NORTHERN ,West Gonja,2007,GROUNDNUT,0.72,
NORTHERN ,West Mamprusi,2007,GROUNDNUT,0.9,
NORTHERN ,Yendi,2007,GROUNDNUT,0.63,
NORTHERN ,Zabzugu,2007,GROUNDNUT,1.08,
NORTHERN ,Tatale,2007,GROUNDNUT,1.08,
NORTHERN ,Bole,2007,  COWPEA,0.54,
NORTHERN ,Bunkpurugu Yonyo,2007,  COWPEA,0.9,
NORTHERN ,Central Gonja,2007,  COWPEA,0.81,
NORTHERN ,East Gonja,2007,  COWPEA,1.62,
NORTHERN ,East Mamprusi,2007,  COWPEA,0.9,
NORTHERN ,Gushiegu,2007,  COWPEA,0.9,
NORTHERN ,Karaga,2007,  COWPEA,0.99,
NORTHERN ,Nanumba North,2007,  COWPEA,0.9,
NORTHERN ,Nanumba South,2007,  COWPEA,0.81,
NORTHERN ,Saboba,2007,  COWPEA,0.72,
NORTHERN ,Savelugu Nanton,2007,  COWPEA,0.81,
NORTHERN ,Sawla/Tuna/Kalba,2007,  COWPEA,0.45,
NORTHERN ,Tamale Metro,2007,  COWPEA,0.72,
NORTHERN ,Tolon,2007,  COWPEA,0.9,
NORTHERN ,Kumbungu,2007,  COWPEA,0.9,
NORTHERN ,West Gonja,2007,  COWPEA,0.81,
NORTHERN ,West Mamprusi,2007,  COWPEA,0.9,
NORTHERN ,Yendi,2007,  COWPEA,0.81,
NORTHERN ,Zabzugu,2007,  COWPEA,0.72,
NORTHERN ,Tatale,2007,  COWPEA,0.72,
NORTHERN ,Bole,2008,MAIZE,2,
NORTHERN ,Bunkpurugu Yonyo,2008,MAIZE,2.5,
NORTHERN ,Central Gonja,2008,MAIZE,3,
NORTHERN ,East Gonja,2008,MAIZE,2,
NORTHERN ,East Mamprusi,2008,MAIZE,1.2,
NORTHERN ,Gushiegu,2008,MAIZE,1.45,
NORTHERN ,Karaga,2008,MAIZE,1.7,
NORTHERN ,Nanumba North,2008,MAIZE,1.5,
